hospital_name,address,latitude,longitude
김성근이비인후과의원,"서울특별시 서초구 강남대로 437, 5,8층 602호, 8층 일부호 (서초동, 대원빌딩)",37.5013634093685,127.025511220431
대영의원,"서울특별시 서초구 신반포로 45, K동 10호 (반포동, 반포동 반포상가)",37.5055867976556,127.002955591295
더봄안과의원,"서울특별시 송파구 송파대로 345, 1A동 2040호 일부,2041호, 2042호 (가락동, 헬리오시티)",37.4976145695004,127.102531804188
바른약속치과의원,"서울특별시 강서구 공항대로 168, 747 3층 301, 302, 303호 (마곡동)",37.5592736391913,126.826136981493
삼성키즈소아청소년과의원,"서울특별시 성동구 매봉길 13, 지하층 208호 (옥수동, 래미안옥수리버젠 상가)",37.5463066032826,127.014115407645
서울베스트안과의원,"서울특별시 동대문구 왕산로 171, 2,3층 (제기동, ), 왕산로 32길 7(용두동) 4층)",37.579486343894,127.042100208729
서울엔(N)비뇨의학과의원,"서울특별시 강동구 올림픽로 660, 201~202호 (천호동, 천호엘크루주상복합)",37.540169637196,127.124570380688
서울엔(N)비뇨의학과의원,"서울특별시 강서구 공항대로 168, 747 4층 411, 412, 413호 (마곡동)",37.5592736391913,126.826136981493
아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",37.5054702180553,126.890498431184
연세문치과의원,"서울특별시 강남구 남부순환로 2803, 상가 동관동 2층 203호 (도곡동, 삼성래미안아파트)",37.4969598110093,127.071448704536
연세보드미의원,"서울특별시 마포구 월드컵로3길 14, 1,2층 116,203,204호 (합정동, 마포 한강 2차 푸르지오)",37.5510079695241,126.91164899787
연세본이비인후과의원,"서울특별시 은평구 통일로 739, 3, 4층 302, 401, 402호 (대조동)",37.6112521966343,126.928734302655
연세힐치과의원,"서울특별시 강서구 강서로 231, 1,2층 102~105, 201, 212~213호 (화곡동, 우장산역 해링턴 타워)",37.546244810291,126.836117683731
우신한의원,"서울특별시 동대문구 고산자로 420, 경동플라자 1층 7호, 32호 (용두동)",37.5817562567556,127.038556556292
최일규정형외과의원,"서울특별시 동대문구 이문로 128, 1~3층 (이문동, 이문동 아이비리그 오피스텔) (별관:이문로 126, 지하1층(이문동))",37.5979744981459,127.061474048513
