station_name,line,gu,dong,gu_dong
북한산우이,우이신설선,강북구,우이동,강북구_우이동
솔밭공원,우이신설선,강북구,우이동,강북구_우이동
양천향교,9호선,강서구,가양동,강서구_가양동
개화,9호선,강서구,개화동,강서구_개화동
송정,5호선,강서구,공항동,강서구_공항동
공항시장,9호선,강서구,공항동,강서구_공항동
,,강서구,과해동,강서구_과해동
발산,5호선,강서구,내발산동,강서구_내발산동
우장산,5호선,강서구,내발산동,강서구_내발산동
가양,9호선,강서구,등촌동,강서구_등촌동
증미,9호선,강서구,등촌동,강서구_등촌동
마곡,5호선,강서구,마곡동,강서구_마곡동
마곡나루,9호선,강서구,마곡동,강서구_마곡동
마곡나루,공항철도1호선,강서구,마곡동,강서구_마곡동
개화산,5호선,강서구,방화동,강서구_방화동
김포공항,5호선,강서구,방화동,강서구_방화동
방화,5호선,강서구,방화동,강서구_방화동
김포공항,9호선,강서구,방화동,강서구_방화동
신방화,9호선,강서구,방화동,강서구_방화동
김포공항,공항철도1호선,강서구,방화동,강서구_방화동
김포공항,김포골드라인,강서구,방화동,강서구_방화동
김포공항,서해선,강서구,방화동,강서구_방화동
,,강서구,염창동,강서구_염창동
,,강서구,오곡동,강서구_오곡동
,,강서구,오쇠동,강서구_오쇠동
,,강서구,외발산동,강서구_외발산동
까치산,5호선,강서구,화곡동,강서구_화곡동
화곡,5호선,강서구,화곡동,강서구_화곡동
,,관악구,남현동,관악구_남현동
낙성대,2호선,관악구,봉천동,관악구_봉천동
봉천,2호선,관악구,봉천동,관악구_봉천동
서울대입구(관악구청),2호선,관악구,봉천동,관악구_봉천동
당곡,신림선,관악구,봉천동,관악구_봉천동
신대방,2호선,관악구,신림동,관악구_신림동
신림,2호선,관악구,신림동,관악구_신림동
관악산(서울대),신림선,관악구,신림동,관악구_신림동
서울대벤처타운,신림선,관악구,신림동,관악구_신림동
서원,신림선,관악구,신림동,관악구_신림동
신림,신림선,관악구,신림동,관악구_신림동
광나루(장신대),5호선,광진구,광장동,광진구_광장동
강변(동서울터미널),2호선,광진구,구의동,광진구_구의동
아차산(어린이대공원후문),5호선,광진구,구의동,광진구_구의동
,,광진구,군자동,광진구_군자동
군자(능동),5호선,광진구,능동,광진구_능동
군자(능동),7호선,광진구,능동,광진구_능동
어린이대공원(세종대),7호선,광진구,능동,광진구_능동
건대입구,2호선,광진구,자양동,광진구_자양동
구의(광진구청),2호선,광진구,자양동,광진구_자양동
뚝섬유원지,7호선,광진구,자양동,광진구_자양동
중곡,7호선,광진구,중곡동,광진구_중곡동
건대입구,7호선,광진구,화양동,광진구_화양동
,,구로구,가리봉동,구로구_가리봉동
개봉,경인선,구로구,개봉동,구로구_개봉동
,,구로구,고척동,구로구_고척동
구로디지털단지,2호선,구로구,구로동,구로구_구로동
대림(구로구청),2호선,구로구,구로동,구로구_구로동
남구로,7호선,구로구,구로동,구로구_구로동
구로,경부선,구로구,구로동,구로구_구로동
구일,경인선,구로구,구로동,구로구_구로동
,,구로구,궁동,구로구_궁동
도림천,2호선,구로구,신도림동,구로구_신도림동
신도림,2호선,구로구,신도림동,구로구_신도림동
신도림,경부선,구로구,신도림동,구로구_신도림동
오류동,경인선,구로구,오류동,구로구_오류동
온수(성공회대입구),7호선,구로구,온수동,구로구_온수동
온수(성공회대입구),경인선,구로구,온수동,구로구_온수동
천왕,7호선,구로구,천왕동,구로구_천왕동
,,구로구,항동,구로구_항동
가산디지털단지,7호선,금천구,가산동,금천구_가산동
가산디지털단지,경부선,금천구,가산동,금천구_가산동
독산,경부선,금천구,가산동,금천구_가산동
,,금천구,독산동,금천구_독산동
금천구청,경부선,금천구,시흥동,금천구_시흥동
태릉입구,6호선,노원구,공릉동,노원구_공릉동
화랑대(서울여대입구),6호선,노원구,공릉동,노원구_공릉동
공릉(서울과학기술대),7호선,노원구,공릉동,노원구_공릉동
태릉입구,7호선,노원구,공릉동,노원구_공릉동
노원,4호선,노원구,상계동,노원구_상계동
당고개,4호선,노원구,상계동,노원구_상계동
상계,4호선,노원구,상계동,노원구_상계동
노원,7호선,노원구,상계동,노원구_상계동
마들,7호선,노원구,상계동,노원구_상계동
수락산,7호선,노원구,상계동,노원구_상계동
광운대,경원선,노원구,월계동,노원구_월계동
월계,경원선,노원구,월계동,노원구_월계동
중계,7호선,노원구,중계동,노원구_중계동
하계,7호선,노원구,하계동,노원구_하계동
도봉산,7호선,도봉구,도봉동,도봉구_도봉동
도봉,경원선,도봉구,도봉동,도봉구_도봉동
도봉산,경원선,도봉구,도봉동,도봉구_도봉동
방학,경원선,도봉구,방학동,도봉구_방학동
,,도봉구,쌍문동,도봉구_쌍문동
쌍문,4호선,도봉구,창동,도봉구_창동
창동,4호선,도봉구,창동,도봉구_창동
녹천,경원선,도봉구,창동,도봉구_창동
창동,경원선,도봉구,창동,도봉구_창동
,,동대문구,답십리동,동대문구_답십리동
신설동,1호선,동대문구,신설동,동대문구_신설동
신설동,2호선,동대문구,신설동,동대문구_신설동
신설동,우이신설선,동대문구,신설동,동대문구_신설동
제기동,1호선,동대문구,용두동,동대문구_용두동
용두(동대문구청),2호선,동대문구,용두동,동대문구_용두동
신이문,경원선,동대문구,이문동,동대문구_이문동
외대앞,경원선,동대문구,이문동,동대문구_이문동
,,동대문구,장안동,동대문구_장안동
청량리(서울시립대입구),1호선,동대문구,전농동,동대문구_전농동
청량리(서울시립대입구),경원선,동대문구,전농동,동대문구_전농동
고려대(종암),6호선,동대문구,제기동,동대문구_제기동
,,동대문구,청량리동,동대문구_청량리동
,,동대문구,회기동,동대문구_회기동
회기,중앙선,동대문구,휘경동,동대문구_휘경동
노량진,9호선,동작구,노량진동,동작구_노량진동
노량진,경부선,동작구,노량진동,동작구_노량진동
보라매,7호선,동작구,대방동,동작구_대방동
신대방삼거리,7호선,동작구,대방동,동작구_대방동
동작(현충원),4호선,동작구,동작동,동작구_동작동
동작(현충원),9호선,동작구,동작동,동작구_동작동
노들,9호선,동작구,본동,동작구_본동
사당,2호선,동작구,사당동,동작구_사당동
사당,4호선,동작구,사당동,동작구_사당동
총신대입구(이수),4호선,동작구,사당동,동작구_사당동
남성,7호선,동작구,사당동,동작구_사당동
이수,7호선,동작구,사당동,동작구_사당동
상도,7호선,동작구,상도1동,동작구_상도1동
숭실대입구(살피재),7호선,동작구,상도동,동작구_상도동
장승배기,7호선,동작구,상도동,동작구_상도동
보라매공원,신림선,동작구,신대방동,동작구_신대방동
보라매병원,신림선,동작구,신대방동,동작구_신대방동
흑석(중앙대입구),9호선,동작구,흑석동,동작구_흑석동
공덕,5호선,마포구,공덕동,마포구_공덕동
공덕,6호선,마포구,공덕동,마포구_공덕동
,,마포구,구수동,마포구_구수동
서강대,경의중앙선,마포구,노고산동,마포구_노고산동
,,마포구,당인동,마포구_당인동
이대,2호선,마포구,대흥동,마포구_대흥동
대흥(서강대앞),6호선,마포구,대흥동,마포구_대흥동
마포,5호선,마포구,도화동,마포구_도화동
공덕,경의중앙선,마포구,도화동,마포구_도화동
공덕,경의중앙선,마포구,도화동,마포구_도화동
공덕,공항철도1호선,마포구,도화동,마포구_도화동
홍대입구,2호선,마포구,동교동,마포구_동교동
홍대입구,경의중앙선,마포구,동교동,마포구_동교동
홍대입구,경의중앙선,마포구,동교동,마포구_동교동
홍대입구,공항철도1호선,마포구,동교동,마포구_동교동
,,마포구,마포동,마포구_마포동
,,마포구,망원동,마포구_망원동
상수,6호선,마포구,상수동,마포구_상수동
디지털미디어시티,6호선,마포구,상암동,마포구_상암동
디지털미디어시티,공항철도1호선,마포구,상암동,마포구_상암동
망원,6호선,마포구,서교동,마포구_서교동
마포구청,6호선,마포구,성산동,마포구_성산동
월드컵경기장(성산),6호선,마포구,성산동,마포구_성산동
,,마포구,신공덕동,마포구_신공덕동
,,마포구,신수동,마포구_신수동
,,마포구,신정동,마포구_신정동
아현,2호선,마포구,아현동,마포구_아현동
애오개,5호선,마포구,아현동,마포구_아현동
,,마포구,연남동,마포구_연남동
,,마포구,염리동,마포구_염리동
,,마포구,용강동,마포구_용강동
,,마포구,중동,마포구_중동
광흥창(서강),6호선,마포구,창전동,마포구_창전동
,,마포구,토정동,마포구_토정동
,,마포구,하중동,마포구_하중동
합정,2호선,마포구,합정동,마포구_합정동
합정,6호선,마포구,합정동,마포구_합정동
,,마포구,현석동,마포구_현석동
가좌,경의중앙선,서대문구,남가좌동,서대문구_남가좌동
,,서대문구,냉천동,서대문구_냉천동
,,서대문구,대신동,서대문구_대신동
,,서대문구,대현동,서대문구_대현동
,,서대문구,미근동,서대문구_미근동
,,서대문구,봉원동,서대문구_봉원동
,,서대문구,북가좌동,서대문구_북가좌동
,,서대문구,북아현동,서대문구_북아현동
신촌,경의중앙선,서대문구,신촌동,서대문구_신촌동
,,서대문구,연희동,서대문구_연희동
,,서대문구,영천동,서대문구_영천동
,,서대문구,옥천동,서대문구_옥천동
신촌,2호선,서대문구,창천동,서대문구_창천동
,,서대문구,천연동,서대문구_천연동
서대문,5호선,서대문구,충정로2가,서대문구_충정로2가
충정로(경기대입구),2호선,서대문구,충정로3가,서대문구_충정로3가
충정로(경기대입구),5호선,서대문구,충정로3가,서대문구_충정로3가
,,서대문구,합동,서대문구_합동
독립문,3호선,서대문구,현저동,서대문구_현저동
,,서대문구,홍은동,서대문구_홍은동
무악재,3호선,서대문구,홍제동,서대문구_홍제동
홍제,3호선,서대문구,홍제동,서대문구_홍제동
,,서초구,내곡동,서초구_내곡동
고속터미널,3호선,서초구,반포동,서초구_반포동
고속터미널,7호선,서초구,반포동,서초구_반포동
반포,7호선,서초구,반포동,서초구_반포동
고속터미널,9호선,서초구,반포동,서초구_반포동
구반포,9호선,서초구,반포동,서초구_반포동
사평,9호선,서초구,반포동,서초구_반포동
신반포,9호선,서초구,반포동,서초구_반포동
방배,2호선,서초구,방배동,서초구_방배동
남태령,4호선,서초구,방배동,서초구_방배동
내방,7호선,서초구,방배동,서초구_방배동
교대(법원.검찰청),2호선,서초구,서초동,서초구_서초동
서초,2호선,서초구,서초동,서초구_서초동
교대(법원.검찰청),3호선,서초구,서초동,서초구_서초동
남부터미널(예술의전당),3호선,서초구,서초동,서초구_서초동
양재(서초구청),3호선,서초구,서초동,서초구_서초동
강남,신분당선,서초구,서초동,서초구_서초동
청계산입구,신분당선,서초구,신원동,서초구_신원동
양재(서초구청),신분당선,서초구,양재동,서초구_양재동
양재시민의숲(매헌),신분당선,서초구,양재동,서초구_양재동
,,서초구,염곡동,서초구_염곡동
,,서초구,우면동,서초구_우면동
,,서초구,원지동,서초구_원지동
잠원,3호선,서초구,잠원동,서초구_잠원동
신금호,5호선,성동구,금호동1가,성동구_금호동1가
,,성동구,금호동2가,성동구_금호동2가
,,성동구,금호동3가,성동구_금호동3가
금호,3호선,성동구,금호동4가,성동구_금호동4가
,,성동구,도선동,성동구_도선동
마장,5호선,성동구,마장동,성동구_마장동
용답,2호선,성동구,사근동,성동구_사근동
,,성동구,상왕십리동,성동구_상왕십리동
뚝섬,2호선,성동구,성수동1가,성동구_성수동1가
서울숲,분당선,성동구,성수동1가,성동구_성수동1가
성수,2호선,성동구,성수동2가,성동구_성수동2가
,,성동구,송정동,성동구_송정동
옥수,3호선,성동구,옥수동,성동구_옥수동
옥수,경원선,성동구,옥수동,성동구_옥수동
신답,2호선,성동구,용답동,성동구_용답동
답십리,5호선,성동구,용답동,성동구_용답동
장한평,5호선,성동구,용답동,성동구_용답동
응봉,경원선,성동구,응봉동,성동구_응봉동
상왕십리,2호선,성동구,하왕십리동,성동구_하왕십리동
왕십리(성동구청),2호선,성동구,행당동,성동구_행당동
한양대,2호선,성동구,행당동,성동구_행당동
왕십리(성동구청),5호선,성동구,행당동,성동구_행당동
행당,5호선,성동구,행당동,성동구_행당동
왕십리(성동구청),경원선,성동구,행당동,성동구_행당동
,,성동구,홍익동,성동구_홍익동
길음,4호선,성북구,길음동,성북구_길음동
,,성북구,돈암동,성북구_돈암동
,,성북구,동선동1가,성북구_동선동1가
,,성북구,동선동2가,성북구_동선동2가
,,성북구,동선동3가,성북구_동선동3가
,,성북구,동선동4가,성북구_동선동4가
,,성북구,동선동5가,성북구_동선동5가
,,성북구,동소문동1가,성북구_동소문동1가
,,성북구,동소문동2가,성북구_동소문동2가
,,성북구,동소문동3가,성북구_동소문동3가
,,성북구,동소문동4가,성북구_동소문동4가
성신여대입구(돈암),4호선,성북구,동소문동5가,성북구_동소문동5가
성신여대입구(돈암),우이신설선,성북구,동소문동5가,성북구_동소문동5가
,,성북구,동소문동6가,성북구_동소문동6가
,,성북구,동소문동7가,성북구_동소문동7가
,,성북구,보문동1가,성북구_보문동1가
보문,6호선,성북구,보문동2가,성북구_보문동2가
보문,우이신설선,성북구,보문동2가,성북구_보문동2가
,,성북구,보문동3가,성북구_보문동3가
,,성북구,보문동4가,성북구_보문동4가
,,성북구,보문동5가,성북구_보문동5가
,,성북구,보문동6가,성북구_보문동6가
,,성북구,보문동7가,성북구_보문동7가
한성대입구(삼선교),4호선,성북구,삼선동1가,성북구_삼선동1가
,,성북구,삼선동2가,성북구_삼선동2가
,,성북구,삼선동3가,성북구_삼선동3가
,,성북구,삼선동4가,성북구_삼선동4가
,,성북구,삼선동5가,성북구_삼선동5가
상월곡(한국과학기술연구원),6호선,성북구,상월곡동,성북구_상월곡동
석계,6호선,성북구,석관동,성북구_석관동
석계,경원선,성북구,석관동,성북구_석관동
,,성북구,성북동,성북구_성북동
,,성북구,성북동1가,성북구_성북동1가
,,성북구,안암동1가,성북구_안암동1가
,,성북구,안암동2가,성북구_안암동2가
,,성북구,안암동3가,성북구_안암동3가
,,성북구,안암동4가,성북구_안암동4가
안암(고대병원앞),6호선,성북구,안암동5가,성북구_안암동5가
돌곶이,6호선,성북구,장위동,성북구_장위동
북한산보국문,우이신설선,성북구,정릉동,성북구_정릉동
정릉,우이신설선,성북구,정릉동,성북구_정릉동
,,성북구,종암동,성북구_종암동
월곡(동덕여대),6호선,성북구,하월곡동,성북구_하월곡동
가락시장,3호선,송파구,가락동,송파구_가락동
경찰병원,3호선,송파구,가락동,송파구_가락동
개롱,5호선,송파구,가락동,송파구_가락동
오금,5호선,송파구,가락동,송파구_가락동
가락시장,8호선,송파구,가락동,송파구_가락동
송파,8호선,송파구,가락동,송파구_가락동
거여,5호선,송파구,거여동,송파구_거여동
마천,5호선,송파구,마천동,송파구_마천동
문정,8호선,송파구,문정동,송파구_문정동
방이,5호선,송파구,방이동,송파구_방이동
올림픽공원(한국체대),5호선,송파구,방이동,송파구_방이동
송파나루,9호선(연장),송파구,방이동,송파구_방이동
올림픽공원(한국체대),9호선(연장),송파구,방이동,송파구_방이동
한성백제,9호선(연장),송파구,방이동,송파구_방이동
,,송파구,삼전동,송파구_삼전동
석촌,8호선,송파구,석촌동,송파구_석촌동
석촌,9호선(연장),송파구,석촌동,송파구_석촌동
석촌고분,9호선(연장),송파구,석촌동,송파구_석촌동
,,송파구,송파동,송파구_송파동
잠실(송파구청),2호선,송파구,신천동,송파구_신천동
잠실나루,2호선,송파구,신천동,송파구_신천동
몽촌토성(평화의문),8호선,송파구,신천동,송파구_신천동
잠실(송파구청),8호선,송파구,신천동,송파구_신천동
오금,3호선,송파구,오금동,송파구_오금동
잠실새내,2호선,송파구,잠실동,송파구_잠실동
종합운동장,2호선,송파구,잠실동,송파구_잠실동
삼전,9호선(연장),송파구,잠실동,송파구_잠실동
종합운동장,9호선(연장),송파구,잠실동,송파구_잠실동
복정,8호선,송파구,장지동,송파구_장지동
장지,8호선,송파구,장지동,송파구_장지동
복정,분당선,송파구,장지동,송파구_장지동
천호(풍납토성),5호선,송파구,풍납동,송파구_풍납동
목동,5호선,양천구,목동,양천구_목동
오목교(목동운동장앞),5호선,양천구,목동,양천구_목동
등촌,9호선,양천구,목동,양천구_목동
신목동,9호선,양천구,목동,양천구_목동
염창,9호선,양천구,목동,양천구_목동
,,양천구,신월동,양천구_신월동
신정네거리,2호선,양천구,신정동,양천구_신정동
양천구청,2호선,양천구,신정동,양천구_신정동
신정(은행정),5호선,양천구,신정동,양천구_신정동
,,영등포구,당산동,영등포구_당산동
,,영등포구,당산동1가,영등포구_당산동1가
영등포구청,5호선,영등포구,당산동2가,영등포구_당산동2가
영등포구청,2호선,영등포구,당산동3가,영등포구_당산동3가
,,영등포구,당산동4가,영등포구_당산동4가
당산,9호선,영등포구,당산동5가,영등포구_당산동5가
당산,2호선,영등포구,당산동6가,영등포구_당산동6가
대림(구로구청),7호선,영등포구,대림동,영등포구_대림동
,,영등포구,도림동,영등포구_도림동
,,영등포구,문래동1가,영등포구_문래동1가
,,영등포구,문래동2가,영등포구_문래동2가
문래,2호선,영등포구,문래동3가,영등포구_문래동3가
,,영등포구,문래동4가,영등포구_문래동4가
,,영등포구,문래동5가,영등포구_문래동5가
,,영등포구,문래동6가,영등포구_문래동6가
신풍,7호선,영등포구,신길동,영등포구_신길동
대방,경부선,영등포구,신길동,영등포구_신길동
신길,경부선,영등포구,신길동,영등포구_신길동
대방,신림선,영등포구,신길동,영등포구_신길동
보라매,신림선,영등포구,신길동,영등포구_신길동
서울지방병무청,신림선,영등포구,신길동,영등포구_신길동
,,영등포구,양평동,영등포구_양평동
,,영등포구,양평동1가,영등포구_양평동1가
양평,5호선,영등포구,양평동2가,영등포구_양평동2가
,,영등포구,양평동3가,영등포구_양평동3가
,,영등포구,양평동4가,영등포구_양평동4가
선유도,9호선,영등포구,양평동5가,영등포구_양평동5가
,,영등포구,양평동6가,영등포구_양평동6가
,,영등포구,양화동,영등포구_양화동
여의나루,5호선,영등포구,여의도동,영등포구_여의도동
여의도,5호선,영등포구,여의도동,영등포구_여의도동
국회의사당,9호선,영등포구,여의도동,영등포구_여의도동
샛강,9호선,영등포구,여의도동,영등포구_여의도동
여의도,9호선,영등포구,여의도동,영등포구_여의도동
샛강,신림선,영등포구,여의도동,영등포구_여의도동
영등포,경부선,영등포구,영등포동,영등포구_영등포동
신길,5호선,영등포구,영등포동1가,영등포구_영등포동1가
,,영등포구,영등포동2가,영등포구_영등포동2가
,,영등포구,영등포동3가,영등포구_영등포동3가
,,영등포구,영등포동4가,영등포구_영등포동4가
영등포시장,5호선,영등포구,영등포동5가,영등포구_영등포동5가
,,영등포구,영등포동6가,영등포구_영등포동6가
,,영등포구,영등포동7가,영등포구_영등포동7가
,,영등포구,영등포동8가,영등포구_영등포동8가
숙대입구(갈월),4호선,용산구,갈월동,용산구_갈월동
남영,경부선,용산구,갈월동,용산구_갈월동
,,용산구,남영동,용산구_남영동
,,용산구,도원동,용산구_도원동
,,용산구,동빙고동,용산구_동빙고동
서울역,4호선,용산구,동자동,용산구_동자동
서울역,경부선,용산구,동자동,용산구_동자동
서울역,공항철도1호선,용산구,동자동,용산구_동자동
,,용산구,문배동,용산구_문배동
,,용산구,보광동,용산구_보광동
,,용산구,산천동,용산구_산천동
,,용산구,서계동,용산구_서계동
서빙고,경원선,용산구,서빙고동,용산구_서빙고동
,,용산구,신계동,용산구_신계동
,,용산구,신창동,용산구_신창동
효창공원앞,6호선,용산구,용문동,용산구_용문동
효창공원앞,경의중앙선,용산구,용문동,용산구_용문동
,,용산구,용산동1가,용산구_용산동1가
,,용산구,용산동2가,용산구_용산동2가
,,용산구,용산동3가,용산구_용산동3가
녹사평(용산구청),6호선,용산구,용산동4가,용산구_용산동4가
이촌(국립중앙박물관),4호선,용산구,용산동5가,용산구_용산동5가
이촌(국립중앙박물관),경원선,용산구,용산동5가,용산구_용산동5가
,,용산구,용산동6가,용산구_용산동6가
,,용산구,원효로1가,용산구_원효로1가
,,용산구,원효로2가,용산구_원효로2가
,,용산구,원효로3가,용산구_원효로3가
,,용산구,원효로4가,용산구_원효로4가
,,용산구,이촌동,용산구_이촌동
이태원,6호선,용산구,이태원동,용산구_이태원동
,,용산구,주성동,용산구_주성동
,,용산구,청암동,용산구_청암동
,,용산구,청파동1가,용산구_청파동1가
,,용산구,청파동2가,용산구_청파동2가
,,용산구,청파동3가,용산구_청파동3가
삼각지,4호선,용산구,한강로1가,용산구_한강로1가
삼각지,6호선,용산구,한강로1가,용산구_한강로1가
신용산,4호선,용산구,한강로2가,용산구_한강로2가
용산,경부선,용산구,한강로3가,용산구_한강로3가
한강진,6호선,용산구,한남동,용산구_한남동
한남,경원선,용산구,한남동,용산구_한남동
,,용산구,효창동,용산구_효창동
,,용산구,후암동,용산구_후암동
구산,6호선,은평구,갈현동,은평구_갈현동
,,은평구,구산동,은평구_구산동
녹번,3호선,은평구,녹번동,은평구_녹번동
역촌,6호선,은평구,녹번동,은평구_녹번동
불광,3호선,은평구,대조동,은평구_대조동
불광,6호선,은평구,대조동,은평구_대조동
연신내,6호선,은평구,대조동,은평구_대조동
연신내,수도권 광역급행철도,은평구,대조동,은평구_대조동
연신내,3호선,은평구,불광동,은평구_불광동
독바위,6호선,은평구,불광동,은평구_불광동
디지털미디어시티,경의중앙선,은평구,수색동,은평구_수색동
디지털미디어시티,경의중앙선,은평구,수색동,은평구_수색동
수색,경의중앙선,은평구,수색동,은평구_수색동
새절(신사),6호선,은평구,신사동,은평구_신사동
응암,6호선,은평구,신사동,은평구_신사동
,,은평구,역촌동,은평구_역촌동
,,은평구,응암동,은평구_응암동
증산(명지대앞),6호선,은평구,증산동,은평구_증산동
구파발,3호선,은평구,진관동,은평구_진관동
,,종로구,가회동,종로구_가회동
,,종로구,견지동,종로구_견지동
안국,3호선,종로구,경운동,종로구_경운동
,,종로구,계동,종로구_계동
,,종로구,공평동,종로구_공평동
,,종로구,관수동,종로구_관수동
,,종로구,관철동,종로구_관철동
,,종로구,관훈동,종로구_관훈동
,,종로구,교남동,종로구_교남동
,,종로구,교북동,종로구_교북동
,,종로구,구기동,종로구_구기동
,,종로구,궁정동,종로구_궁정동
,,종로구,권농동,종로구_권농동
,,종로구,낙원동,종로구_낙원동
,,종로구,내수동,종로구_내수동
,,종로구,내자동,종로구_내자동
,,종로구,누상동,종로구_누상동
,,종로구,누하동,종로구_누하동
,,종로구,당주동,종로구_당주동
,,종로구,도렴동,종로구_도렴동
종로3가,5호선,종로구,돈의동,종로구_돈의동
혜화,4호선,종로구,동숭동,종로구_동숭동
,,종로구,명륜1가,종로구_명륜1가
,,종로구,명륜2가,종로구_명륜2가
,,종로구,명륜3가,종로구_명륜3가
,,종로구,명륜4가,종로구_명륜4가
종로3가,3호선,종로구,묘동,종로구_묘동
,,종로구,무악동,종로구_무악동
,,종로구,봉익동,종로구_봉익동
,,종로구,부암동,종로구_부암동
,,종로구,사간동,종로구_사간동
,,종로구,사직동,종로구_사직동
,,종로구,삼청동,종로구_삼청동
,,종로구,서린동,종로구_서린동
광화문(세종문화회관),5호선,종로구,세종로,종로구_세종로
,,종로구,소격동,종로구_소격동
,,종로구,송월동,종로구_송월동
,,종로구,송현동,종로구_송현동
,,종로구,수송동,종로구_수송동
동묘앞,1호선,종로구,숭인동,종로구_숭인동
,,종로구,신교동,종로구_신교동
,,종로구,신문로1가,종로구_신문로1가
,,종로구,신문로2가,종로구_신문로2가
,,종로구,신영동,종로구_신영동
,,종로구,안국동,종로구_안국동
,,종로구,연건동,종로구_연건동
,,종로구,연지동,종로구_연지동
,,종로구,예지동,종로구_예지동
,,종로구,옥인동,종로구_옥인동
,,종로구,와룡동,종로구_와룡동
,,종로구,운니동,종로구_운니동
,,종로구,원남동,종로구_원남동
,,종로구,원서동,종로구_원서동
,,종로구,이화동,종로구_이화동
,,종로구,익선동,종로구_익선동
,,종로구,인사동,종로구_인사동
,,종로구,인의동,종로구_인의동
,,종로구,장사동,종로구_장사동
,,종로구,재동,종로구_재동
경복궁(정부서울청사),3호선,종로구,적선동,종로구_적선동
종각,1호선,종로구,종로1가,종로구_종로1가
,,종로구,종로2가,종로구_종로2가
종로3가,1호선,종로구,종로3가,종로구_종로3가
,,종로구,종로4가,종로구_종로4가
종로5가,1호선,종로구,종로5가,종로구_종로5가
동대문,4호선,종로구,종로6가,종로구_종로6가
,,종로구,중학동,종로구_중학동
,,종로구,창성동,종로구_창성동
동대문,1호선,종로구,창신동,종로구_창신동
동묘앞,6호선,종로구,창신동,종로구_창신동
창신,6호선,종로구,창신동,종로구_창신동
,,종로구,청운동,종로구_청운동
,,종로구,청진동,종로구_청진동
,,종로구,체부동,종로구_체부동
